snapshot_id,as_of_date,lane_id,origin,destination,direction,mode,incoterms,metric,bl_no,atd,atd_month,schedule_date,days,status,source
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,260958114,2025-11-23,2025-11,2026-01-09,47,schedule_passed,user_extract_2026-09-07_v2
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,260958719,2025-11-23,2025-11,2026-01-09,47,schedule_passed,user_extract_2026-09-07_v2
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,260957518,2025-11-30,2025-11,2026-01-16,47,schedule_passed,user_extract_2026-09-07_v2
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,261865619,2025-11-23,2025-11,2026-01-09,47,schedule_passed,user_extract_2026-09-07_v2
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,260957516,2025-12-08,2025-12,2026-01-24,47,schedule_passed,user_extract_2026-09-07_v2
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,260958712,2025-11-30,2025-11,2026-01-16,47,schedule_passed,user_extract_2026-09-07_v2
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,260958116,2025-12-08,2025-12,2026-01-24,47,schedule_passed,user_extract_2026-09-07_v2
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,260957514,2025-12-08,2025-12,2026-01-24,47,schedule_passed,user_extract_2026-09-07_v2
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,260958722,2025-12-08,2025-12,2026-01-24,47,schedule_passed,user_extract_2026-09-07_v2
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,260958112,2025-12-08,2025-12,2026-01-24,47,schedule_passed,user_extract_2026-09-07_v2
