snapshot_id,as_of_date,lane_id,origin,destination,direction,mode,incoterms,metric,bl_no,route,direct,atd,atd_year,atd_month,schedule_date,days,status,source
2026-09-09_ham-sha_merged,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,223480629,,U,2023-01-21,2023,2023-01,2023-03-11,49,schedule_passed,2023
2026-09-09_ham-sha_merged,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,223481752,,U,2023-01-21,2023,2023-01,2023-03-11,49,schedule_passed,2023
2026-09-09_ham-sha_merged,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,224305959,,U,2023-01-21,2023,2023-01,2023-03-11,49,schedule_passed,2023
2026-09-09_ham-sha_merged,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,224306375,,U,2023-01-21,2023,2023-01,2023-03-11,49,schedule_passed,2023
2026-09-09_ham-sha_merged,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,223481218,,U,2023-01-27,2023,2023-01,2023-03-22,54,schedule_passed,2023
2026-09-09_ham-sha_merged,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,223481750,,U,2023-01-27,2023,2023-01,2023-03-22,54,schedule_passed,2023
2026-09-09_ham-sha_merged,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,223478606,,U,2023-01-29,2023,2023-01,2023-03-02,32,schedule_passed,2023
2026-09-09_ham-sha_merged,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,223481221,,U,2023-02-04,2023,2023-02,2023-04-08,63,schedule_passed,2023
2026-09-09_ham-sha_merged,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,223481756,,U,2023-02-04,2023,2023-02,2023-04-26,81,schedule_passed,2023
2026-09-09_ham-sha_merged,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,223482172,,U,2023-02-13,2023,2023-02,2023-04-09,55,schedule_passed,2023
2026-09-09_ham-sha_merged,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,224551702,,U,2023-02-19,2023,2023-02,2023-03-23,32,schedule_passed,2023
2026-09-09_ham-sha_merged,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,224553185,,U,2023-02-22,2023,2023-02,2023-04-13,50,schedule_passed,2023
2026-09-09_ham-sha_merged,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,224553192,,U,2023-02-22,2023,2023-02,2023-04-13,50,schedule_passed,2023
2026-09-09_ham-sha_merged,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,224553184,,U,2023-03-02,2023,2023-03,2023-04-18,47,schedule_passed,2023
2026-09-09_ham-sha_merged,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,224553604,,U,2023-03-02,2023,2023-03,2023-04-18,47,schedule_passed,2023
2026-09-09_ham-sha_merged,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,224552264,,U,2023-03-05,2023,2023-03,2023-04-07,33,schedule_passed,2023
2026-09-09_ham-sha_merged,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,224553188,,U,2023-03-11,2023,2023-03,2023-04-25,45,schedule_passed,2023
2026-09-09_ham-sha_merged,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,224553605,,U,2023-03-11,2023,2023-03,2023-04-25,45,schedule_passed,2023
2026-09-09_ham-sha_merged,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,224553606,,U,2023-03-11,2023,2023-03,2023-04-25,45,schedule_passed,2023
2026-09-09_ham-sha_merged,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,225091889,,U,2023-03-15,2023,2023-03,2023-05-12,58,schedule_passed,2023
2026-09-09_ham-sha_merged,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,225094267,,U,2023-03-15,2023,2023-03,2023-05-12,58,schedule_passed,2023
2026-09-09_ham-sha_merged,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,225094275,,U,2023-03-15,2023,2023-03,2023-05-19,65,schedule_passed,2023
2026-09-09_ham-sha_merged,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,225090996,,U,2023-03-24,2023,2023-03,2023-04-29,36,schedule_passed,2023
2026-09-09_ham-sha_merged,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,225093432,,U,2023-03-30,2023,2023-03,2023-05-16,47,schedule_passed,2023
2026-09-09_ham-sha_merged,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,225094266,,U,2023-03-30,2023,2023-03,2023-05-16,47,schedule_passed,2023
2026-09-09_ham-sha_merged,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,225094271,,U,2023-04-06,2023,2023-04,2023-05-23,47,schedule_passed,2023
2026-09-09_ham-sha_merged,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,225095135,,U,2023-04-06,2023,2023-04,2023-05-23,47,schedule_passed,2023
2026-09-09_ham-sha_merged,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,226127016,,U,2023-04-06,2023,2023-04,2023-05-23,47,schedule_passed,2023
2026-09-09_ham-sha_merged,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,225091887,,U,2023-04-08,2023,2023-04,2023-05-11,33,schedule_passed,2023
2026-09-09_ham-sha_merged,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,226125930,,U,2023-04-21,2023,2023-04,2023-06-07,47,schedule_passed,2023
2026-09-09_ham-sha_merged,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,226126441,,U,2023-04-21,2023,2023-04,2023-06-07,47,schedule_passed,2023
2026-09-09_ham-sha_merged,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,226126444,,U,2023-04-21,2023,2023-04,2023-06-07,47,schedule_passed,2023
2026-09-09_ham-sha_merged,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,226126438,,U,2023-04-28,2023,2023-04,2023-06-21,54,schedule_passed,2023
2026-09-09_ham-sha_merged,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,226126443,,U,2023-04-28,2023,2023-04,2023-06-21,54,schedule_passed,2023
2026-09-09_ham-sha_merged,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,226126440,,U,2023-05-06,2023,2023-05,2023-07-19,74,schedule_passed,2023
2026-09-09_ham-sha_merged,2026-09-07,HAM-SHA,HAM,SHA,import,ocean,CIF,latest_vessel_schedule_minus_atd,226126442,,U,2023-05-06,2023,2023-05,2023-07-19,74,schedule_passed,2023
